"GameID","Datum","Zeit","TableID","Guthaben","Spielstand","Einsatz","Drehrichtung","Ausgang","Ergebnis","Farbe","Gerade","HiLo","Dutzend","Kolonne"
"1","Sonntag, 17. Juli 2016","11:16:50","0","0","[1, 1, 1, 1, 1]","2","rechts","gewonnen","33","schwarz","ungerade","hoch","3.Dutzend","3.Kolonne"
"2","Sonntag, 17. Juli 2016","11:21:03","0","2702","[1, 1, 1]","2","rechts","gewonnen","2","schwarz","gerade","niedrig","1.Dutzend","2.Kolonne"
"3","Sonntag, 17. Juli 2016","11:22:40","0","2700","[1, 1, 1, 1, 1]","2","rechts","gewonnen","34","rot","gerade","hoch","3.Dutzend","1.Kolonne"
"4","Sonntag, 17. Juli 2016","11:23:18","0","2702","[1, 1, 1, 1, 1]","2","rechts","verloren","12","rot","gerade","niedrig","1.Dutzend","3.Kolonne"
"5","Sonntag, 17. Juli 2016","11:23:49","0","2700","[1, 1, 1, 1, 1, 2]","3","links","verloren","33","schwarz","ungerade","hoch","3.Dutzend","3.Kolonne"
"6","Sonntag, 17. Juli 2016","11:27:41","1663519","2697","[1, 1, 1, 1, 1]","2","rechts","gewonnen","24","schwarz","gerade","hoch","2.Dutzend","3.Kolonne"
"7","Sonntag, 17. Juli 2016","11:28:26","1663519","2699","[1, 1, 1]","2","links","verloren","25","rot","ungerade","hoch","3.Dutzend","1.Kolonne"
"8","Sonntag, 17. Juli 2016","11:29:13","1663519","2697","[1, 1, 1, 2]","3","rechts","verloren","15","schwarz","ungerade","niedrig","2.Dutzend","3.Kolonne"
"9","Sonntag, 17. Juli 2016","11:29:56","1663519","2694","[1, 1, 1, 2, 3]","4","links","verloren","23","rot","ungerade","hoch","2.Dutzend","2.Kolonne"
"10","Sonntag, 17. Juli 2016","11:31:22","1663519","2690","[1, 1, 1, 2, 3, 4]","5","links","verloren","6","schwarz","gerade","niedrig","1.Dutzend","3.Kolonne"
